"prtvtcit","euftf","imwbcnt","rlgdgr","stflife","gincdif","hmsacld","edlveit","domicil","hincfel","yrbrn","lrscale"
"CDX","LOW","LOW","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Coping","Boomers","RIGHT"
"M5S","LOW","LOW","HIGH","HIGH","LOW","LOW","Low edu","Countryside","Comfortable","Gen X","LEFT"
"CSX","MODERATE","MODERATE","HIGH","LOW","HIGH","LOW","College edu","Small city","Difficult","Boomers","MODERATE"
"M5S","HIGH","MODERATE","LOW","HIGH","HIGH","MODERATE","College edu","Small city","Coping","Boomers","MODERATE"
"CDX","LOW","MODERATE","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Gen X","RIGHT"
"M5S","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Interwar","MODERATE"
"CDX","HIGH","MODERATE","HIGH","LOW","MODERATE","LOW","Low edu","Big city","Difficult","Interwar","MODERATE"
"CSX","HIGH","MODERATE","MODERATE","HIGH","HIGH","HIGH","Low edu","Countryside","Comfortable","Boomers","LEFT"
"M5S","HIGH","MODERATE","MODERATE","HIGH","HIGH","HIGH","University edu","Countryside","Coping","Millennials","MODERATE"
"CDX","LOW","MODERATE","MODERATE","MODERATE","HIGH","LOW","College edu","Small city","Comfortable","Boomers","RIGHT"
"CSX","HIGH","MODERATE","HIGH","HIGH","LOW","HIGH","College edu","Countryside","Coping","Gen X","MODERATE"
"CSX","HIGH","HIGH","HIGH","HIGH","HIGH","LOW","University edu","Small city","Coping","Gen X","MODERATE"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","MODERATE","Low edu","Countryside","Coping","Millennials","MODERATE"
"M5S","HIGH","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Big city","Coping","Boomers","RIGHT"
"CSX","MODERATE","MODERATE","HIGH","LOW","HIGH","LOW","Low edu","Countryside","Difficult","Interwar","MODERATE"
"M5S","LOW","MODERATE","LOW","MODERATE","HIGH","MODERATE","Low edu","Small city","Difficult","Gen X","LEFT"
"M5S","HIGH","HIGH","LOW","HIGH","MODERATE","MODERATE","University edu","Small city","Comfortable","Boomers","RIGHT"
"M5S","MODERATE","MODERATE","LOW","HIGH","MODERATE","HIGH","College edu","Small city","Difficult","Gen X","MODERATE"
"CDX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Boomers","RIGHT"
"CDX","LOW","LOW","MODERATE","HIGH","MODERATE","LOW","Low edu","Small city","Coping","Boomers","RIGHT"
"CDX","LOW","MODERATE","LOW","HIGH","MODERATE","LOW","College edu","Countryside","Coping","Gen X","RIGHT"
"CDX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Boomers","RIGHT"
"M5S","MODERATE","LOW","HIGH","HIGH","HIGH","LOW","College edu","Small city","Difficult","Boomers","MODERATE"
"M5S","LOW","MODERATE","LOW","HIGH","HIGH","MODERATE","College edu","Big city","Comfortable","Gen X","MODERATE"
"M5S","MODERATE","LOW","HIGH","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Boomers","RIGHT"
"CSX","MODERATE","MODERATE","LOW","HIGH","HIGH","LOW","College edu","Countryside","Difficult","Gen X","LEFT"
"M5S","HIGH","MODERATE","LOW","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Gen X","LEFT"
"M5S","HIGH","HIGH","MODERATE","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Interwar","MODERATE"
"CSX","MODERATE","HIGH","HIGH","HIGH","MODERATE","LOW","Low edu","Small city","Comfortable","Interwar","MODERATE"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Coping","Boomers","RIGHT"
"CDX","MODERATE","LOW","LOW","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Gen X","RIGHT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Gen X","RIGHT"
"M5S","MODERATE","LOW","MODERATE","HIGH","HIGH","LOW","College edu","Small city","Coping","Boomers","RIGHT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Comfortable","Boomers","RIGHT"
"M5S","MODERATE","LOW","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Comfortable","Gen X","RIGHT"
"M5S","MODERATE","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Gen X","MODERATE"
"CSX","LOW","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Comfortable","Interwar","LEFT"
"CDX","LOW","LOW","MODERATE","HIGH","HIGH","LOW","College edu","Small city","Comfortable","Boomers","RIGHT"
"M5S","MODERATE","LOW","MODERATE","HIGH","HIGH","MODERATE","Low edu","Small city","Coping","Gen X","MODERATE"
"M5S","MODERATE","MODERATE","HIGH","MODERATE","HIGH","HIGH","College edu","Small city","Coping","Boomers","MODERATE"
"CDX","LOW","LOW","MODERATE","MODERATE","LOW","LOW","College edu","Small city","Coping","Gen X","RIGHT"
"CDX","LOW","LOW","MODERATE","MODERATE","HIGH","LOW","Low edu","Small city","Difficult","Interwar","RIGHT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Coping","Gen X","MODERATE"
"CSX","HIGH","MODERATE","LOW","HIGH","HIGH","MODERATE","College edu","Countryside","Coping","Millennials","MODERATE"
"CSX","HIGH","MODERATE","HIGH","HIGH","HIGH","MODERATE","University edu","Small city","Comfortable","Millennials","MODERATE"
"M5S","LOW","HIGH","MODERATE","MODERATE","HIGH","LOW","College edu","Countryside","Difficult","Boomers","MODERATE"
"CSX","MODERATE","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Coping","Interwar","LEFT"
"M5S","LOW","LOW","LOW","LOW","HIGH","LOW","Low edu","Countryside","Difficult","Millennials","RIGHT"
"M5S","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","Low edu","Small city","Difficult","Boomers","RIGHT"
"CDX","HIGH","HIGH","HIGH","HIGH","HIGH","LOW","College edu","Big city","Comfortable","Gen X","RIGHT"
"M5S","MODERATE","LOW","MODERATE","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Gen X","MODERATE"
"M5S","HIGH","MODERATE","HIGH","MODERATE","MODERATE","MODERATE","University edu","Countryside","Coping","Gen X","MODERATE"
"CDX","MODERATE","LOW","MODERATE","MODERATE","MODERATE","LOW","Low edu","Small city","Comfortable","Interwar","MODERATE"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","HIGH","College edu","Small city","Coping","Boomers","MODERATE"
"M5S","LOW","LOW","LOW","MODERATE","HIGH","HIGH","College edu","Small city","Difficult","Millennials","MODERATE"
"M5S","MODERATE","MODERATE","LOW","HIGH","HIGH","MODERATE","University edu","Suburbs","Difficult","Gen X","MODERATE"
"CSX","LOW","MODERATE","LOW","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Boomers","LEFT"
"CDX","LOW","LOW","HIGH","MODERATE","HIGH","MODERATE","Low edu","Small city","Difficult","Boomers","RIGHT"
"CSX","LOW","LOW","LOW","MODERATE","HIGH","HIGH","College edu","Small city","Coping","Boomers","LEFT"
"M5S","MODERATE","MODERATE","HIGH","HIGH","HIGH","MODERATE","Low edu","Big city","Difficult","Boomers","MODERATE"
"M5S","HIGH","HIGH","MODERATE","HIGH","HIGH","MODERATE","College edu","Countryside","Difficult","Millennials","LEFT"
"M5S","MODERATE","LOW","HIGH","MODERATE","HIGH","MODERATE","College edu","Countryside","Difficult","Millennials","MODERATE"
"M5S","MODERATE","MODERATE","LOW","HIGH","HIGH","LOW","College edu","Small city","Coping","Gen X","RIGHT"
"M5S","HIGH","MODERATE","HIGH","MODERATE","HIGH","MODERATE","Low edu","Small city","Coping","Boomers","MODERATE"
"M5S","HIGH","LOW","LOW","HIGH","HIGH","HIGH","College edu","Countryside","Comfortable","Millennials","RIGHT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","HIGH","College edu","Big city","Difficult","Gen X","RIGHT"
"CDX","LOW","LOW","HIGH","MODERATE","HIGH","LOW","Low edu","Small city","Comfortable","Boomers","RIGHT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Boomers","RIGHT"
"CDX","LOW","LOW","LOW","LOW","HIGH","LOW","Low edu","Small city","Difficult","Millennials","RIGHT"
"M5S","LOW","LOW","LOW","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Boomers","MODERATE"
"M5S","MODERATE","MODERATE","LOW","HIGH","HIGH","HIGH","College edu","Countryside","Comfortable","Millennials","LEFT"
"M5S","MODERATE","LOW","MODERATE","HIGH","HIGH","HIGH","College edu","Countryside","Coping","Boomers","MODERATE"
"CDX","LOW","LOW","LOW","MODERATE","HIGH","LOW","College edu","Small city","Coping","Millennials","RIGHT"
"CDX","MODERATE","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Interwar","RIGHT"
"M5S","LOW","LOW","HIGH","HIGH","HIGH","HIGH","College edu","Countryside","Coping","Gen X","LEFT"
"CDX","LOW","MODERATE","HIGH","HIGH","HIGH","HIGH","Low edu","Countryside","Comfortable","Millennials","RIGHT"
"CSX","HIGH","LOW","LOW","MODERATE","HIGH","LOW","College edu","Small city","Coping","Boomers","LEFT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Millennials","MODERATE"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Comfortable","Gen X","MODERATE"
"M5S","LOW","LOW","HIGH","LOW","HIGH","LOW","Low edu","Countryside","Difficult","Boomers","MODERATE"
"M5S","LOW","MODERATE","HIGH","HIGH","HIGH","LOW","College edu","Small city","Difficult","Boomers","RIGHT"
"M5S","MODERATE","MODERATE","HIGH","MODERATE","HIGH","HIGH","College edu","Small city","Difficult","Millennials","RIGHT"
"CSX","LOW","MODERATE","LOW","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Boomers","LEFT"
"CDX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Gen X","RIGHT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","University edu","Big city","Coping","Gen X","MODERATE"
"CSX","LOW","LOW","LOW","MODERATE","HIGH","LOW","College edu","Small city","Difficult","Millennials","LEFT"
"M5S","LOW","MODERATE","LOW","MODERATE","HIGH","HIGH","College edu","Small city","Comfortable","Boomers","LEFT"
"M5S","HIGH","HIGH","LOW","HIGH","HIGH","HIGH","University edu","Small city","Comfortable","Millennials","MODERATE"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Boomers","RIGHT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","University edu","Small city","Comfortable","Gen X","RIGHT"
"CDX","MODERATE","MODERATE","MODERATE","MODERATE","HIGH","HIGH","Low edu","Small city","Difficult","Gen X","RIGHT"
"M5S","MODERATE","HIGH","MODERATE","HIGH","MODERATE","MODERATE","Low edu","Big city","Coping","Boomers","MODERATE"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Boomers","RIGHT"
"M5S","MODERATE","MODERATE","MODERATE","MODERATE","HIGH","HIGH","Low edu","Countryside","Difficult","Boomers","MODERATE"
"CDX","MODERATE","LOW","HIGH","MODERATE","HIGH","LOW","Low edu","Big city","Difficult","Gen X","RIGHT"
"M5S","HIGH","HIGH","LOW","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Millennials","RIGHT"
"CSX","LOW","LOW","HIGH","HIGH","HIGH","MODERATE","Low edu","Small city","Coping","Boomers","LEFT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","College edu","Small city","Comfortable","Interwar","RIGHT"
"M5S","HIGH","MODERATE","HIGH","MODERATE","HIGH","LOW","College edu","Small city","Coping","Boomers","MODERATE"
"CSX","LOW","MODERATE","LOW","HIGH","HIGH","HIGH","Low edu","Big city","Comfortable","Gen X","LEFT"
"M5S","LOW","MODERATE","MODERATE","HIGH","MODERATE","LOW","College edu","Countryside","Coping","Boomers","MODERATE"
"CSX","MODERATE","HIGH","MODERATE","HIGH","HIGH","HIGH","College edu","Small city","Coping","Gen X","LEFT"
"CSX","LOW","MODERATE","HIGH","HIGH","MODERATE","LOW","Low edu","Countryside","Comfortable","Boomers","MODERATE"
"CSX","MODERATE","HIGH","LOW","HIGH","HIGH","HIGH","University edu","Countryside","Comfortable","Millennials","LEFT"
"CDX","MODERATE","LOW","MODERATE","MODERATE","HIGH","LOW","College edu","Countryside","Comfortable","Gen X","RIGHT"
"M5S","HIGH","LOW","MODERATE","LOW","HIGH","LOW","College edu","Small city","Coping","Boomers","MODERATE"
"CDX","MODERATE","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Coping","Interwar","RIGHT"
"CDX","MODERATE","MODERATE","HIGH","HIGH","HIGH","MODERATE","College edu","Small city","Coping","Boomers","RIGHT"
"CSX","HIGH","MODERATE","MODERATE","MODERATE","HIGH","MODERATE","Low edu","Small city","Coping","Boomers","LEFT"
"CSX","HIGH","HIGH","HIGH","HIGH","LOW","LOW","University edu","Countryside","Comfortable","Interwar","LEFT"
"CSX","HIGH","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","University edu","Small city","Comfortable","Boomers","MODERATE"
"CDX","MODERATE","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Difficult","Boomers","RIGHT"
"M5S","HIGH","MODERATE","LOW","HIGH","HIGH","HIGH","Low edu","Small city","Comfortable","Gen X","MODERATE"
